Taxonomic_group,Label,French_name
Aves,Saxicola rubetra,Tarier des prés
Aves,Saxicola rubicola,Tarier pâtre
Aves,Saxicola maurus,Tarier de Sibérie
Aves,Oenanthe oenanthe,Traquet motteux
Aves,Oenanthe isabellina,Traquet isabelle
Aves,Oenanthe deserti,Traquet du désert
Aves,Oenanthe hispanica,Traquet oreillard
Aves,Oenanthe melanoleuca,Traquet noir et blanc
Aves,Oenanthe pleschanka,Traquet pie
Aves,Oenanthe leucura,Traquet rieur
Aves,Oenanthe leucopyga,Traquet à tête blanche
Aves,Oenanthe xanthoprymna,Traquet kurde
Aves,Bombycilla garrulus,Jaseur boréal
Aves,Euodice malabarica,Capucin bec-de-plomb
Aves,Prunella collaris,Accenteur alpin
Aves,Prunella atrogularis,Accenteur à gorge noire
Aves,Prunella modularis,Accenteur mouchet
Aves,Passer domesticus,Moineau domestique
Aves,Passer italiae,Moineau cisalpin
Aves,Passer hispaniolensis,Moineau espagnol
Aves,Passer montanus,Moineau friquet
Aves,Petronia petronia,Moineau soulcie
Aves,Montifringilla nivalis,Niverolle alpine
Aves,Motacilla cinerea,Bergeronnette des ruisseaux
Aves,Motacilla flava,Bergeronnette printanière
Aves,Motacilla tschutschensis,Bergeronnette de Béringie
Aves,Motacilla citreola,Bergeronnette citrine
Aves,Motacilla alba,Bergeronnette grise
Aves,Anthus richardi,Pipit de Richard
Aves,Anthus godlewskii,Pipit de Godlewski
Aves,Anthus campestris,Pipit rousseline
Aves,Anthus pratensis,Pipit farlouse
Aves,Anthus trivialis,Pipit des arbres
Aves,Anthus hodgsoni,Pipit à dos olive
Aves,Anthus gustavi,Pipit de la Petchora
Aves,Anthus cervinus,Pipit à gorge rousse
Aves,Anthus spinoletta,Pipit spioncelle
Aves,Anthus petrosus,Pipit maritime
Aves,Anthus rubescens,Pipit d'Amérique
Aves,Fringilla coelebs,Pinson des arbres
Aves,Fringilla montifringilla,Pinson du Nord
Aves,Coccothraustes coccothraustes,Gros-bec casse-noyaux
Aves,Carpodacus erythrinus,Roselin cramoisi
Aves,Pinicola enucleator,Durbec des sapins
Aves,Pyrrhula pyrrhula,Bouvreuil pivoine
Aves,Bucanetes githagineus,Roselin githagine
Aves,Chloris chloris,Verdier d'Europe
Aves,Linaria flavirostris,Linotte à bec jaune
Aves,Linaria cannabina,Linotte mélodieuse
Aves,Acanthis flammea,Sizerin flammé
Aves,Acanthis cabaret,Sizerin cabaret
Aves,Acanthis hornemanni,Sizerin blanchâtre
Aves,Loxia pytyopsittacus,Bec-croisé perroquet
Aves,Loxia curvirostra,Bec-croisé des sapins
Aves,Loxia leucoptera,Bec-croisé bifascié
Aves,Carduelis carduelis,Chardonneret élégant
Aves,Carduelis citrinella,Venturon montagnard
Aves,Carduelis corsicana,Venturon corse
Aves,Serinus serinus,Serin cini
Aves,Spinus spinus,Tarin des aulnes
Aves,Calcarius lapponicus,Plectrophane lapon
Aves,Plectrophenax nivalis,Plectrophane des neiges
Aves,Emberiza melanocephala,Bruant mélanocéphale
Aves,Emberiza bruniceps,Bruant à tête rousse
Aves,Emberiza calandra,Bruant proyer
Aves,Emberiza cia,Bruant fou
Aves,Emberiza cirlus,Bruant zizi
Aves,Emberiza citrinella,Bruant jaune
Aves,Emberiza leucocephalos,Bruant à calotte blanche
Aves,Emberiza hortulana,Bruant ortolan
Aves,Emberiza caesia,Bruant cendrillard
Aves,Emberiza pallasi,Bruant de Pallas
Aves,Emberiza schoeniclus,Bruant des roseaux
Aves,Emberiza aureola,Bruant auréole
Aves,Emberiza pusilla,Bruant nain
Aves,Emberiza rustica,Bruant rustique
Aves,Emberiza spodocephala,Bruant masqué
Aves,Emberiza rutila,Bruant roux
